time,geo,variable,value
2020-03-14,zrh_schmls,kbi_o3,1
2020-03-14,zrh_schmls,kbi_pm10,1
2020-03-14,zrh_schmls,no2,37.91
2020-03-14,zrh_schmls,o3_max_h,65.32
2020-03-14,zrh_schmls,pm10,12.6
2020-03-14,zrh_stmpf,kbi,1
2020-03-14,zrh_stmpf,kbi_no2,1
2020-03-14,zrh_stmpf,kbi_o3,1
2020-03-14,zrh_stmpf,kbi_pm10,1
2020-03-14,zrh_stmpf,no2,29.69
2020-03-14,zrh_stmpf,o3_max_h,76.63
2020-03-14,zrh_stmpf,p,969.89
2020-03-14,zrh_stmpf,pm10,9.24
2020-03-14,zrh_stmpf,t,6.99
2020-03-15,zrh_heub,no2,6.4
2020-03-15,zrh_heub,o3_max_h,90.3
2020-03-15,zrh_rsgrt,kbi,1
2020-03-15,zrh_rsgrt,kbi_no2,1
2020-03-15,zrh_rsgrt,kbi_o3,1
2020-03-15,zrh_rsgrt,kbi_pm10,1
2020-03-15,zrh_rsgrt,no2,40.82
2020-03-15,zrh_rsgrt,o3_max_h,72.84
2020-03-15,zrh_rsgrt,pm10,16.55
2020-03-15,zrh_schmls,kbi,1
2020-03-15,zrh_schmls,kbi_no2,1
2020-03-15,zrh_schmls,kbi_o3,1
2020-03-15,zrh_schmls,kbi_pm10,1
2020-03-15,zrh_schmls,no2,36.57
2020-03-15,zrh_schmls,o3_max_h,78.53
2020-03-15,zrh_schmls,pm10,14.11
2020-03-15,zrh_stmpf,kbi,1
2020-03-15,zrh_stmpf,kbi_no2,1
2020-03-15,zrh_stmpf,kbi_o3,1
2020-03-15,zrh_stmpf,kbi_pm10,1
2020-03-15,zrh_stmpf,no2,30.84
2020-03-15,zrh_stmpf,o3_max_h,86.78
2020-03-15,zrh_stmpf,p,967.2
2020-03-15,zrh_stmpf,pm10,10.36
2020-03-15,zrh_stmpf,t,8.28
2020-03-16,zrh_heub,no2,12.56
2020-03-16,zrh_heub,o3_max_h,86.5
2020-03-16,zrh_rsgrt,kbi,2
2020-03-16,zrh_rsgrt,kbi_no2,2
2020-03-16,zrh_rsgrt,kbi_o3,1
2020-03-16,zrh_rsgrt,kbi_pm10,1
2020-03-16,zrh_rsgrt,no2,61.62
2020-03-16,zrh_rsgrt,o3_max_h,59.96
2020-03-16,zrh_rsgrt,pm10,17.84
2020-03-16,zrh_schmls,kbi,1
2020-03-16,zrh_schmls,kbi_no2,1
2020-03-16,zrh_schmls,kbi_o3,1
2020-03-16,zrh_schmls,kbi_pm10,1
2020-03-16,zrh_schmls,no2,52.52
2020-03-16,zrh_schmls,o3_max_h,69.48
2020-03-16,zrh_schmls,pm10,16.38
2020-03-16,zrh_stmpf,kbi,1
2020-03-16,zrh_stmpf,kbi_no2,1
2020-03-16,zrh_stmpf,kbi_o3,1
