time,group,geo,value
2020-01-07,alter_1529,ch,19.9455414769945
2020-01-07,alter_3064,ch,21.9652024469129
2020-01-07,alter_6579,ch,12.7797623950148
2020-01-07,erwerbstaetig,ch,23.0640495449066
2020-01-07,in_ausbildung,ch,14.6193035649918
2020-01-07,maennlich,ch,22.4540137345558
2020-01-07,nicht_erwerbstaetig,ch,10.8939446781338
2020-01-07,tages_distanz_10-20km,ch,17.1515389331411
2020-01-07,tages_distanz_10-20km_alter_1529,ch,18.3270297492154
2020-01-07,tages_distanz_10-20km_alter_3064,ch,16.3241898941582
2020-01-07,tages_distanz_10-20km_alter_6579,ch,19.0260390656025
2020-01-07,tages_distanz_100pluskm,ch,8.27816637516641
2020-01-07,tages_distanz_100pluskm_alter_1529,ch,8.14530058086407
2020-01-07,tages_distanz_100pluskm_alter_3064,ch,8.88658796356024
2020-01-07,tages_distanz_100pluskm_alter_6579,ch,5.77437825746025
2020-01-07,tages_distanz_2-10km,ch,19.7019463474069
2020-01-07,tages_distanz_2-10km_alter_1529,ch,21.4245736102841
2020-01-07,tages_distanz_2-10km_alter_3064,ch,17.9891942792879
2020-01-07,tages_distanz_2-10km_alter_6579,ch,24.675884620525
2020-01-07,tages_distanz_20-50km,ch,25.5349757025782
2020-01-07,tages_distanz_20-50km_alter_1529,ch,24.9249651982996
2020-01-07,tages_distanz_20-50km_alter_3064,ch,26.8622254749885
2020-01-07,tages_distanz_20-50km_alter_6579,ch,20.5655342151253
2020-01-07,tages_distanz_50-100km,ch,16.3641458234007
2020-01-07,tages_distanz_50-100km_alter_1529,ch,16.9146926571341
2020-01-07,tages_distanz_50-100km_alter_3064,ch,17.303327324474
2020-01-07,tages_distanz_50-100km_alter_6579,ch,11.3368805865051
2020-01-07,tages_distanz_weniger2km,ch,12.9692268183067
2020-01-07,tages_distanz_weniger2km_alter_1529,ch,10.2634382042027
2020-01-07,tages_distanz_weniger2km_alter_3064,ch,12.6344750635312
2020-01-07,tages_distanz_weniger2km_alter_6579,ch,18.6212832547819
2020-01-07,total,ch,20.2189892226022
2020-01-07,total,rural,27.466481544532
2020-01-07,total,urban,15.0643501553355
2020-01-07,total,zh,20.1766637379765
2020-01-07,weiblich,ch,17.1439124802039
2020-01-08,alter_1529,ch,18.7345942610044
2020-01-08,alter_3064,ch,18.615518130671
2020-01-08,alter_6579,ch,11.9295718924312
2020-01-08,erwerbstaetig,ch,20.044254659504
2020-01-08,in_ausbildung,ch,12.361070133908
2020-01-08,maennlich,ch,20.1310012192165
2020-01-08,nicht_erwerbstaetig,ch,11.1961511522644
2020-01-08,tages_distanz_10-20km,ch,15.3057367925161
2020-01-08,tages_distanz_10-20km_alter_1529,ch,16.9887531088184
2020-01-08,tages_distanz_10-20km_alter_3064,ch,14.2216350618603
2020-01-08,tages_distanz_10-20km_alter_6579,ch,17.5193774892361
2020-01-08,tages_distanz_100pluskm,ch,8.71639893947489
2020-01-08,tages_distanz_100pluskm_alter_1529,ch,8.06613699625742
2020-01-08,tages_distanz_100pluskm_alter_3064,ch,8.94708754154932
2020-01-08,tages_distanz_100pluskm_alter_6579,ch,8.69158899889148
2020-01-08,tages_distanz_2-10km,ch,20.0470295767246
2020-01-08,tages_distanz_2-10km_alter_1529,ch,17.4878935019186
2020-01-08,tages_distanz_2-10km_alter_3064,ch,20.0680646418529
2020-01-08,tages_distanz_2-10km_alter_6579,ch,23.8633550006566
2020-01-08,tages_distanz_20-50km,ch,23.9946726099905
2020-01-08,tages_distanz_20-50km_alter_1529,ch,26.2616973645679
2020-01-08,tages_distanz_20-50km_alter_3064,ch,24.1995242755807
2020-01-08,tages_distanz_20-50km_alter_6579,ch,19.6276432535241
2020-01-08,tages_distanz_50-100km,ch,13.9580479082019
2020-01-08,tages_distanz_50-100km_alter_1529,ch,14.0273131430135
2020-01-08,tages_distanz_50-100km_alter_3064,ch,15.0345874328469
2020-01-08,tages_distanz_50-100km_alter_6579,ch,9.10111703219583
2020-01-08,tages_distanz_weniger2km,ch,17.978114173092
2020-01-08,tages_distanz_weniger2km_alter_1529,ch,17.1682058854242
2020-01-08,tages_distanz_weniger2km_alter_3064,ch,17.5291010463098
2020-01-08,tages_distanz_weniger2km_alter_6579,ch,21.196918225496
2020-01-08,total,ch,17.3604905714124
2020-01-08,total,rural,26.3289142314003
2020-01-08,total,urban,13.2058617650048
2020-01-08,total,zh,15.9197680588382
2020-01-08,weiblich,ch,14.8066663981457
2020-01-09,alter_1529,ch,22.8370813238526
2020-01-09,alter_3064,ch,23.8392715581916
2020-01-09,alter_6579,ch,11.6886756000925
2020-01-09,erwerbstaetig,ch,24.052486133742
2020-01-09,in_ausbildung,ch,19.2150515159572
2020-01-09,maennlich,ch,23.7672915626811
2020-01-09,nicht_erwerbstaetig,ch,11.9249994724699
2020-01-09,tages_distanz_10-20km,ch,16.8157624332284
2020-01-09,tages_distanz_10-20km_alter_1529,ch,18.7552560695902
2020-01-09,tages_distanz_10-20km_alter_3064,ch,16.2319010909587
2020-01-09,tages_distanz_10-20km_alter_6579,ch,16.4304034508915
2020-01-09,tages_distanz_100pluskm,ch,10.2900784290138
2020-01-09,tages_distanz_100pluskm_alter_1529,ch,9.94782903737002
2020-01-09,tages_distanz_100pluskm_alter_3064,ch,10.5090232486405
2020-01-09,tages_distanz_100pluskm_alter_6579,ch,9.84491201285886
2020-01-09,tages_distanz_2-10km,ch,19.9616791279679
2020-01-09,tages_distanz_2-10km_alter_1529,ch,17.4536333105482
2020-01-09,tages_distanz_2-10km_alter_3064,ch,19.2094889870486
2020-01-09,tages_distanz_2-10km_alter_6579,ch,27.13258739318
2020-01-09,tages_distanz_20-50km,ch,25.4750969981574
2020-01-09,tages_distanz_20-50km_alter_1529,ch,28.3532894697906
2020-01-09,tages_distanz_20-50km_alter_3064,ch,25.6958438166942
2020-01-09,tages_distanz_20-50km_alter_6579,ch,20.0901001770664
2020-01-09,tages_distanz_50-100km,ch,15.7193699213658
2020-01-09,tages_distanz_50-100km_alter_1529,ch,15.401625502189
2020-01-09,tages_distanz_50-100km_alter_3064,ch,17.4892641580034
2020-01-09,tages_distanz_50-100km_alter_6579,ch,8.37044128636165
2020-01-09,tages_distanz_weniger2km,ch,11.7380130902667
2020-01-09,tages_distanz_weniger2km_alter_1529,ch,10.088366610512
2020-01-09,tages_distanz_weniger2km_alter_3064,ch,10.8644786986546
2020-01-09,tages_distanz_weniger2km_alter_6579,ch,18.1315556796415
2020-01-09,total,ch,21.5913351581656
2020-01-09,total,rural,30.2701811632959
2020-01-09,total,urban,16.1399642186496
2020-01-09,total,zh,19.540684650198
2020-01-09,weiblich,ch,19.1632071766598
2020-01-10,alter_1529,ch,29.9254242193597
2020-01-10,alter_3064,ch,26.0874606691911
2020-01-10,alter_6579,ch,13.7373367626521
2020-01-10,erwerbstaetig,ch,27.2988357062103
2020-01-10,in_ausbildung,ch,26.6163923092205
2020-01-10,maennlich,ch,27.9167445746976
2020-01-10,nicht_erwerbstaetig,ch,12.9089686267944
2020-01-10,tages_distanz_10-20km,ch,15.6679773600693
2020-01-10,tages_distanz_10-20km_alter_1529,ch,16.7532762407897
2020-01-10,tages_distanz_10-20km_alter_3064,ch,14.7402762112099
2020-01-10,tages_distanz_10-20km_alter_6579,ch,18.1714975295129
2020-01-10,tages_distanz_100pluskm,ch,12.1694208126108
2020-01-10,tages_distanz_100pluskm_alter_1529,ch,12.7503422043656
2020-01-10,tages_distanz_100pluskm_alter_3064,ch,13.0813313529511
2020-01-10,tages_distanz_100pluskm_alter_6579,ch,7.14132897979435
2020-01-10,tages_distanz_2-10km,ch,18.6201801132133
2020-01-10,tages_distanz_2-10km_alter_1529,ch,17.3659217269559
2020-01-10,tages_distanz_2-10km_alter_3064,ch,17.9054849689644
2020-01-10,tages_distanz_2-10km_alter_6579,ch,23.8056594218258
2020-01-10,tages_distanz_20-50km,ch,25.0449290779791
2020-01-10,tages_distanz_20-50km_alter_1529,ch,23.7790050273809
2020-01-10,tages_distanz_20-50km_alter_3064,ch,25.8576287708743
2020-01-10,tages_distanz_20-50km_alter_6579,ch,23.342778044045
2020-01-10,tages_distanz_50-100km,ch,17.476499325763
2020-01-10,tages_distanz_50-100km_alter_1529,ch,20.3306439092931
2020-01-10,tages_distanz_50-100km_alter_3064,ch,17.9220152655545
2020-01-10,tages_distanz_50-100km_alter_6579,ch,11.0154416754799
2020-01-10,tages_distanz_weniger2km,ch,11.0209933103644
2020-01-10,tages_distanz_weniger2km_alter_1529,ch,9.02081089121489
2020-01-10,tages_distanz_weniger2km_alter_3064,ch,10.4932634304458
2020-01-10,tages_distanz_weniger2km_alter_6579,ch,16.523294349342
2020-01-10,total,ch,24.0664358015169
2020-01-10,total,rural,31.8852536057353
2020-01-10,total,urban,18.5088612718019
2020-01-10,total,zh,21.7282967813582
2020-01-10,weiblich,ch,21.3669065439101
2020-01-11,alter_1529,ch,25.3990871271541
2020-01-11,alter_3064,ch,21.4174621929799
2020-01-11,alter_6579,ch,8.51323811605019
2020-01-11,erwerbstaetig,ch,22.5933652365248
2020-01-11,in_ausbildung,ch,16.6128103731011
2020-01-11,maennlich,ch,21.0116600107919
2020-01-11,nicht_erwerbstaetig,ch,8.71646976849188
2020-01-11,tages_distanz_10-20km,ch,13.9722404459334
2020-01-11,tages_distanz_10-20km_alter_1529,ch,14.1463048086491
2020-01-11,tages_distanz_10-20km_alter_3064,ch,13.776469719981
2020-01-11,tages_distanz_10-20km_alter_6579,ch,14.5798259134743
2020-01-11,tages_distanz_100pluskm,ch,10.9589184524698
2020-01-11,tages_distanz_100pluskm_alter_1529,ch,10.9662769967549
2020-01-11,tages_distanz_100pluskm_alter_3064,ch,11.9247819116708
2020-01-11,tages_distanz_100pluskm_alter_6579,ch,6.62247825866146
