time,availability,geo,value
2019-01-30,immediate,bs,2495
2019-01-30,immediate,fr,3809
2019-01-30,immediate,ge,9033
2019-01-30,immediate,gl,230
2019-01-30,immediate,gr,1460
2019-01-30,immediate,ju,999
2019-01-30,immediate,lu,2251
2019-01-30,immediate,ne,3338
2019-01-30,immediate,nw,110
2019-01-30,immediate,ow,78
2019-01-30,immediate,sg,2600
2019-01-30,immediate,sh,1013
2019-01-30,immediate,so,1864
2019-01-30,immediate,sz,742
2019-01-30,immediate,tg,1509
2019-01-30,immediate,ti,5225
2019-01-30,immediate,tot,87540
2019-01-30,immediate,ur,224
2019-01-30,immediate,vd,11730
2019-01-30,immediate,vs,6921
2019-01-30,immediate,zg,657
2019-01-30,immediate,zh,16631
2019-01-30,tot,ag,11791
2019-01-30,tot,ai,125
2019-01-30,tot,ar,680
2019-01-30,tot,be,11617
2019-01-30,tot,bl,4300
2019-01-30,tot,bs,3870
2019-01-30,tot,fr,6905
2019-01-30,tot,ge,13320
2019-01-30,tot,gl,498
2019-01-30,tot,gr,2541
2019-01-30,tot,ju,1849
2019-01-30,tot,lu,5079
2019-01-30,tot,ne,5002
2019-01-30,tot,nw,370
2019-01-30,tot,ow,256
2019-01-30,tot,sg,8020
2019-01-30,tot,sh,1714
2019-01-30,tot,so,4214
2019-01-30,tot,sz,1822
2019-01-30,tot,tg,4227
2019-01-30,tot,ti,9601
2019-01-30,tot,tot,160449
2019-01-30,tot,ur,310
2019-01-30,tot,vd,22009
2019-01-30,tot,vs,9905
2019-01-30,tot,zg,2237
2019-01-30,tot,zh,27884
2019-01-31,immediate,ag,5936
2019-01-31,immediate,ai,87
2019-01-31,immediate,ar,217
2019-01-31,immediate,be,5852
2019-01-31,immediate,bl,2194
2019-01-31,immediate,bs,2471
2019-01-31,immediate,fr,3809
2019-01-31,immediate,ge,8935
2019-01-31,immediate,gl,229
2019-01-31,immediate,gr,1449
2019-01-31,immediate,ju,986
2019-01-31,immediate,lu,2256
2019-01-31,immediate,ne,3301
2019-01-31,immediate,nw,111
2019-01-31,immediate,ow,75
2019-01-31,immediate,sg,2542
2019-01-31,immediate,sh,1011
2019-01-31,immediate,so,1845
2019-01-31,immediate,sz,717
2019-01-31,immediate,tg,1478
2019-01-31,immediate,ti,5156
2019-01-31,immediate,tot,86488
2019-01-31,immediate,ur,225
2019-01-31,immediate,vd,11664
2019-01-31,immediate,vs,6858
2019-01-31,immediate,zg,649
2019-01-31,immediate,zh,16261
2019-01-31,tot,ag,11614
2019-01-31,tot,ai,121
2019-01-31,tot,ar,671
2019-01-31,tot,be,11537
2019-01-31,tot,bl,4226
2019-01-31,tot,bs,3835
2019-01-31,tot,fr,6913
2019-01-31,tot,ge,13197
2019-01-31,tot,gl,493
2019-01-31,tot,gr,2528
2019-01-31,tot,ju,1834
2019-01-31,tot,lu,5056
2019-01-31,tot,ne,4938
2019-01-31,tot,nw,362
2019-01-31,tot,ow,249
2019-01-31,tot,sg,7840
2019-01-31,tot,sh,1708
2019-01-31,tot,so,4163
2019-01-31,tot,sz,1780
2019-01-31,tot,tg,4132
2019-01-31,tot,ti,9472
2019-01-31,tot,tot,158491
2019-01-31,tot,ur,312
2019-01-31,tot,vd,21891
2019-01-31,tot,vs,9817
2019-01-31,tot,zg,2219
2019-01-31,tot,zh,27282
2019-02-01,immediate,ag,5925
2019-02-01,immediate,ai,86
2019-02-01,immediate,ar,217
2019-02-01,immediate,be,5852
2019-02-01,immediate,bl,2192
2019-02-01,immediate,bs,2464
2019-02-01,immediate,fr,3809
2019-02-01,immediate,ge,8914
2019-02-01,immediate,gl,229
2019-02-01,immediate,gr,1437
2019-02-01,immediate,ju,976
2019-02-01,immediate,lu,2259
2019-02-01,immediate,ne,3288
2019-02-01,immediate,nw,113
2019-02-01,immediate,ow,76
2019-02-01,immediate,sg,2532
2019-02-01,immediate,sh,1008
2019-02-01,immediate,so,1836
2019-02-01,immediate,sz,713
2019-02-01,immediate,tg,1475
2019-02-01,immediate,ti,5114
2019-02-01,immediate,tot,86210
2019-02-01,immediate,ur,226
2019-02-01,immediate,vd,11631
2019-02-01,immediate,vs,6823
2019-02-01,immediate,zg,633
2019-02-01,immediate,zh,16204
2019-02-01,tot,ag,11609
2019-02-01,tot,ai,119
2019-02-01,tot,ar,668
2019-02-01,tot,be,11523
2019-02-01,tot,bl,4219
2019-02-01,tot,bs,3827
2019-02-01,tot,fr,6914
2019-02-01,tot,ge,13186
2019-02-01,tot,gl,492
2019-02-01,tot,gr,2506
2019-02-01,tot,ju,1805
2019-02-01,tot,lu,5045
2019-02-01,tot,ne,4923
2019-02-01,tot,nw,359
2019-02-01,tot,ow,250
2019-02-01,tot,sg,7835
2019-02-01,tot,sh,1708
2019-02-01,tot,so,4152
2019-02-01,tot,sz,1771
2019-02-01,tot,tg,4123
2019-02-01,tot,ti,9421
2019-02-01,tot,tot,158132
2019-02-01,tot,ur,314
2019-02-01,tot,vd,21834
2019-02-01,tot,vs,9769
2019-02-01,tot,zg,2212
2019-02-01,tot,zh,27243
2019-02-02,immediate,ag,5914
2019-02-02,immediate,ai,87
2019-02-02,immediate,ar,216
2019-02-02,immediate,be,5842
2019-02-02,immediate,bl,2182
2019-02-02,immediate,bs,2455
2019-02-02,immediate,fr,3799
2019-02-02,immediate,ge,8912
2019-02-02,immediate,gl,230
2019-02-02,immediate,gr,1427
2019-02-02,immediate,ju,975
2019-02-02,immediate,lu,2253
2019-02-02,immediate,ne,3290
2019-02-02,immediate,nw,113
2019-02-02,immediate,ow,75
2019-02-02,immediate,sg,2529
2019-02-02,immediate,sh,1006
2019-02-02,immediate,so,1822
2019-02-02,immediate,sz,720
2019-02-02,immediate,tg,1473
2019-02-02,immediate,ti,5099
2019-02-02,immediate,tot,86076
2019-02-02,immediate,ur,226
2019-02-02,immediate,vd,11618
2019-02-02,immediate,vs,6797
2019-02-02,immediate,zg,633
2019-02-02,immediate,zh,16204
2019-02-02,tot,ag,11598
2019-02-02,tot,ai,120
2019-02-02,tot,ar,660
2019-02-02,tot,be,11521
2019-02-02,tot,bl,4215
2019-02-02,tot,bs,3810
2019-02-02,tot,fr,6883
2019-02-02,tot,ge,13218
2019-02-02,tot,gl,491
2019-02-02,tot,gr,2489
2019-02-02,tot,ju,1796
2019-02-02,tot,lu,5050
2019-02-02,tot,ne,4936
2019-02-02,tot,nw,360
2019-02-02,tot,ow,252
2019-02-02,tot,sg,7839
2019-02-02,tot,sh,1704
2019-02-02,tot,so,4134
2019-02-02,tot,sz,1785
2019-02-02,tot,tg,4107
2019-02-02,tot,ti,9414
2019-02-02,tot,tot,158070
2019-02-02,tot,ur,315
2019-02-02,tot,vd,21818
2019-02-02,tot,vs,9732
2019-02-02,tot,zg,2220
2019-02-02,tot,zh,27297
2019-02-04,immediate,ag,5911
2019-02-04,immediate,ai,87
2019-02-04,immediate,ar,214
2019-02-04,immediate,be,5835
2019-02-04,immediate,bl,2186
2019-02-04,immediate,bs,2453
2019-02-04,immediate,fr,3796
2019-02-04,immediate,ge,8940
2019-02-04,immediate,gl,230
2019-02-04,immediate,gr,1428
2019-02-04,immediate,ju,975
2019-02-04,immediate,lu,2251
2019-02-04,immediate,ne,3310
2019-02-04,immediate,nw,113
2019-02-04,immediate,ow,75
2019-02-04,immediate,sg,2523
2019-02-04,immediate,sh,1006
2019-02-04,immediate,so,1830
2019-02-04,immediate,sz,735
