time,sa,value
2008-08-20,nsa,131.1
2008-08-20,sa,97.5
2008-08-21,nsa,128.3
2008-08-21,sa,96.6
2008-08-22,nsa,108.9
2008-08-22,sa,95.4
2008-08-23,nsa,32.2
2008-08-23,sa,94.1
2008-08-24,nsa,14.6
2008-08-24,sa,98.8
2008-08-25,nsa,119
2008-08-25,sa,97.4
2008-08-26,nsa,133.3
2008-08-26,sa,97.1
2008-08-27,nsa,134.9
2008-08-27,sa,97.1
2008-08-28,nsa,133
2008-08-28,sa,97.2
2008-08-29,nsa,114.5
2008-08-29,sa,97.4
2008-08-30,nsa,34.4
2008-08-30,sa,93.2
2008-08-31,nsa,15
2008-08-31,sa,97.9
2008-09-01,nsa,122.3
2008-09-01,sa,97.3
2008-09-02,nsa,136.6
2008-09-02,sa,96.9
2008-09-03,nsa,138.7
2008-09-03,sa,96.8
2008-09-04,nsa,136.4
2008-09-04,sa,96.8
2008-09-05,nsa,117.4
2008-09-05,sa,97.4
2008-09-06,nsa,41.3
2008-09-06,sa,96.9
2008-09-07,nsa,15.1
2008-09-07,sa,96.4
2008-09-08,nsa,123.1
2008-09-08,sa,96.6
2008-09-09,nsa,138.2
2008-09-09,sa,96.9
2008-09-10,nsa,140.2
2008-09-10,sa,96.8
2008-09-11,nsa,137.2
2008-09-11,sa,96.5
2008-09-12,nsa,116.4
2008-09-12,sa,95.7
2008-09-13,nsa,41.9
2008-09-13,sa,96.3
2008-09-14,nsa,15.4
2008-09-14,sa,96.4
2008-09-15,nsa,124.3
2008-09-15,sa,96.5
2008-09-16,nsa,139
2008-09-16,sa,96.6
2008-09-17,nsa,140.8
2008-09-17,sa,96.1
2008-09-18,nsa,138.7
2008-09-18,sa,96.6
2008-09-19,nsa,119.7
2008-09-19,sa,97.6
2008-09-20,nsa,40.4
2008-09-20,sa,94.1
2008-09-21,nsa,14.9
2008-09-21,sa,95.9
2008-09-22,nsa,124.1
2008-09-22,sa,95.9
2008-09-23,nsa,139.5
2008-09-23,sa,95.8
2008-09-24,nsa,141.9
2008-09-24,sa,96.5
2008-09-25,nsa,138.9
2008-09-25,sa,95.9
2008-09-26,nsa,118.6
2008-09-26,sa,95.9
2008-09-27,nsa,43.9
2008-09-27,sa,96.4
2008-09-28,nsa,15.6
2008-09-28,sa,95.9
2008-09-29,nsa,125.4
2008-09-29,sa,96.4
2008-09-30,nsa,141.6
2008-09-30,sa,96.1
2008-10-01,nsa,145.5
2008-10-01,sa,96.5
2008-10-02,nsa,129.5
2008-10-02,sa,91.5
2008-10-03,nsa,24.3
2008-10-03,sa,87
2008-10-04,nsa,40.7
2008-10-04,sa,92.7
2008-10-05,nsa,16.2
2008-10-05,sa,92.6
2008-10-06,nsa,129.8
2008-10-06,sa,98.1
2008-10-07,nsa,142.9
2008-10-07,sa,96.2
2008-10-08,nsa,143.5
2008-10-08,sa,95.7
2008-10-09,nsa,139.5
2008-10-09,sa,96.4
2008-10-10,nsa,119.6
2008-10-10,sa,96.2
2008-10-11,nsa,43.6
2008-10-11,sa,95.9
2008-10-12,nsa,15.4
2008-10-12,sa,95.4
2008-10-13,nsa,124.4
2008-10-13,sa,95
2008-10-14,nsa,140.5
2008-10-14,sa,95.9
2008-10-15,nsa,141.4
2008-10-15,sa,95.6
2008-10-16,nsa,137.5
2008-10-16,sa,95.2
2008-10-17,nsa,118.3
2008-10-17,sa,95.2
2008-10-18,nsa,42.5
2008-10-18,sa,94.9
2008-10-19,nsa,15.3
2008-10-19,sa,94.9
2008-10-20,nsa,124.5
2008-10-20,sa,95.4
2008-10-21,nsa,139.1
2008-10-21,sa,94.5
2008-10-22,nsa,140.4
2008-10-22,sa,94.5
2008-10-23,nsa,136.3
2008-10-23,sa,93.9
2008-10-24,nsa,116.3
2008-10-24,sa,93.8
2008-10-25,nsa,41.6
2008-10-25,sa,94
2008-10-26,nsa,15.1
2008-10-26,sa,95.2
2008-10-27,nsa,123
2008-10-27,sa,93.8
2008-10-28,nsa,137.7
2008-10-28,sa,93
2008-10-29,nsa,138.4
2008-10-29,sa,92.7
2008-10-30,nsa,132.3
2008-10-30,sa,91.5
2008-10-31,nsa,96.9
2008-10-31,sa,90.3
2008-11-01,nsa,24
2008-11-01,sa,94.7
2008-11-02,nsa,14.2
2008-11-02,sa,95.2
2008-11-03,nsa,127.5
2008-11-03,sa,96.1
2008-11-04,nsa,139.1
2008-11-04,sa,93.5
2008-11-05,nsa,139.1
2008-11-05,sa,91.7
2008-11-06,nsa,135.6
2008-11-06,sa,92.5
2008-11-07,nsa,116
2008-11-07,sa,92.4
2008-11-08,nsa,40.9
2008-11-08,sa,91.4
2008-11-09,nsa,15
2008-11-09,sa,92
2008-11-10,nsa,121.1
2008-11-10,sa,92.3
2008-11-11,nsa,134.1
2008-11-11,sa,91.2
2008-11-12,nsa,130.9
2008-11-12,sa,90.2
2008-11-13,nsa,132.8
2008-11-13,sa,92.1
2008-11-14,nsa,115.2
2008-11-14,sa,92.5
2008-11-15,nsa,41.3
2008-11-15,sa,92.4
