time,geo,value
2020-04-22,gr,856
2020-04-22,ju,156
2020-04-22,lu,1916
2020-04-22,ne,615
2020-04-22,nw,50
2020-04-22,ow,78
2020-04-22,sg,2789
2020-04-22,sh,473
2020-04-22,so,914
2020-04-22,sz,381
2020-04-22,tg,1093
2020-04-22,ti,84
2020-04-22,tot,32047
2020-04-22,ur,53
2020-04-22,vd,1176
2020-04-22,vs,679
2020-04-22,zg,933
2020-04-22,zh,5840
2020-04-23,ag,2385
2020-04-23,ai,65
2020-04-23,ar,162
2020-04-23,be,4103
2020-04-23,bl,367
2020-04-23,bs,1052
2020-04-23,fr,489
2020-04-23,ge,797
2020-04-23,gl,119
2020-04-23,gr,729
2020-04-23,ju,147
2020-04-23,lu,1715
2020-04-23,ne,569
2020-04-23,nw,53
2020-04-23,ow,78
2020-04-23,sg,2637
2020-04-23,sh,380
2020-04-23,so,846
2020-04-23,sz,356
2020-04-23,tg,1036
2020-04-23,ti,78
2020-04-23,tot,30139
2020-04-23,ur,48
2020-04-23,vd,1044
2020-04-23,vs,604
2020-04-23,zg,703
2020-04-23,zh,5454
2020-04-24,ag,2363
2020-04-24,ai,63
2020-04-24,ar,156
2020-04-24,be,3764
2020-04-24,bl,348
2020-04-24,bs,973
2020-04-24,fr,513
2020-04-24,ge,772
2020-04-24,gl,113
2020-04-24,gr,751
2020-04-24,ju,125
2020-04-24,lu,1736
2020-04-24,ne,555
2020-04-24,nw,51
2020-04-24,ow,83
2020-04-24,sg,2472
2020-04-24,sh,378
2020-04-24,so,830
2020-04-24,sz,338
2020-04-24,tg,1013
2020-04-24,ti,79
2020-04-24,tot,28943
2020-04-24,ur,50
2020-04-24,vd,1065
2020-04-24,vs,586
2020-04-24,zg,793
2020-04-24,zh,5113
2020-04-25,ag,2285
2020-04-25,ai,62
2020-04-25,ar,157
2020-04-25,be,3693
2020-04-25,bl,350
2020-04-25,bs,918
2020-04-25,fr,483
2020-04-25,ge,738
2020-04-25,gl,114
2020-04-25,gr,712
2020-04-25,ju,124
2020-04-25,lu,1732
2020-04-25,ne,554
2020-04-25,nw,50
2020-04-25,ow,86
2020-04-25,sg,2464
2020-04-25,sh,354
2020-04-25,so,828
2020-04-25,sz,335
2020-04-25,tg,1000
2020-04-25,ti,62
2020-04-25,tot,28427
2020-04-25,ur,44
2020-04-25,vd,1062
2020-04-25,vs,566
2020-04-25,zg,787
2020-04-25,zh,5027
2020-04-26,ag,2252
2020-04-26,ai,61
2020-04-26,ar,156
2020-04-26,be,3687
2020-04-26,bl,345
2020-04-26,bs,887
2020-04-26,fr,514
2020-04-26,ge,752
2020-04-26,gl,114
2020-04-26,gr,723
2020-04-26,ju,149
2020-04-26,lu,1718
2020-04-26,ne,576
2020-04-26,nw,50
2020-04-26,ow,86
2020-04-26,sg,2467
2020-04-26,sh,382
2020-04-26,so,805
2020-04-26,sz,337
2020-04-26,tg,952
2020-04-26,ti,62
2020-04-26,tot,28635
2020-04-26,ur,41
2020-04-26,vd,1193
2020-04-26,vs,570
2020-04-26,zg,812
2020-04-26,zh,5056
