time,direction,rnwy,time_frame,value
2020-03-16,arrival,16,0622,0
2020-03-16,arrival,16,2200,0
2020-03-16,arrival,28,0006,0
2020-03-16,arrival,28,0622,9
2020-03-16,arrival,28,2200,7
2020-03-16,arrival,34,0006,0
2020-03-16,arrival,34,0622,12
2020-03-16,arrival,34,2200,0
2020-03-16,arrival,all,total,176
2020-03-17,arrival,14,0006,0
2020-03-17,arrival,14,0622,118
2020-03-17,arrival,14,2200,0
2020-03-17,arrival,16,0006,0
2020-03-17,arrival,16,0622,0
2020-03-17,arrival,16,2200,0
2020-03-17,arrival,28,0006,0
2020-03-17,arrival,28,0622,11
2020-03-17,arrival,28,2200,4
2020-03-17,arrival,34,0006,0
2020-03-17,arrival,34,0622,13
2020-03-17,arrival,34,2200,0
2020-03-17,arrival,all,total,146
2020-03-18,arrival,14,0006,0
2020-03-18,arrival,14,0622,93
2020-03-18,arrival,14,2200,0
2020-03-18,arrival,16,0006,0
2020-03-18,arrival,16,0622,0
2020-03-18,arrival,16,2200,0
2020-03-18,arrival,28,0006,0
2020-03-18,arrival,28,0622,6
2020-03-18,arrival,28,2200,4
2020-03-18,arrival,34,0006,0
2020-03-18,arrival,34,0622,9
2020-03-18,arrival,34,2200,0
2020-03-18,arrival,all,total,112
2020-03-19,arrival,14,0006,0
2020-03-19,arrival,14,0622,90
2020-03-19,arrival,14,2200,0
2020-03-19,arrival,16,0006,0
2020-03-19,arrival,16,0622,0
2020-03-19,arrival,16,2200,0
2020-03-19,arrival,28,0006,0
2020-03-19,arrival,28,0622,4
2020-03-19,arrival,28,2200,2
2020-03-19,arrival,34,0006,0
2020-03-19,arrival,34,0622,14
2020-03-19,arrival,34,2200,0
2020-03-19,arrival,all,total,110
2020-03-20,arrival,14,0006,0
2020-03-20,arrival,14,0622,86
2020-03-20,arrival,14,2200,0
2020-03-20,arrival,16,0006,0
2020-03-20,arrival,16,0622,0
2020-03-20,arrival,16,2200,0
2020-03-20,arrival,28,0006,0
2020-03-20,arrival,28,0622,10
2020-03-20,arrival,28,2200,2
2020-03-20,arrival,34,0006,0
2020-03-20,arrival,34,0622,8
2020-03-20,arrival,34,2200,1
2020-03-20,arrival,all,total,107
2020-03-21,arrival,14,0006,0
2020-03-21,arrival,14,0622,58
2020-03-21,arrival,14,2200,0
2020-03-21,arrival,16,0006,0
2020-03-21,arrival,16,0622,0
2020-03-21,arrival,16,2200,0
2020-03-21,arrival,28,0006,0
2020-03-21,arrival,28,0622,0
2020-03-21,arrival,28,2200,0
2020-03-21,arrival,34,0006,0
2020-03-21,arrival,34,0622,18
2020-03-21,arrival,34,2200,2
2020-03-21,arrival,all,total,78
2020-03-22,arrival,14,0006,0
2020-03-22,arrival,14,0622,51
2020-03-22,arrival,14,2200,1
2020-03-22,arrival,16,0006,0
2020-03-22,arrival,16,0622,0
2020-03-22,arrival,16,2200,0
2020-03-22,arrival,28,0006,0
2020-03-22,arrival,28,0622,0
2020-03-22,arrival,28,2200,0
2020-03-22,arrival,34,0006,1
2020-03-22,arrival,34,0622,22
2020-03-22,arrival,34,2200,0
2020-03-22,arrival,all,total,75
2020-03-23,arrival,14,0006,0
2020-03-23,arrival,14,0622,39
2020-03-23,arrival,14,2200,0
2020-03-23,arrival,16,0006,0
2020-03-23,arrival,16,0622,0
2020-03-23,arrival,16,2200,0
2020-03-23,arrival,28,0006,0
2020-03-23,arrival,28,0622,0
2020-03-23,arrival,28,2200,0
2020-03-23,arrival,34,0006,0
2020-03-23,arrival,34,0622,7
2020-03-23,arrival,34,2200,0
2020-03-23,arrival,all,total,46
2020-03-24,arrival,14,0006,0
2020-03-24,arrival,14,0622,30
2020-03-24,arrival,14,2200,0
2020-03-24,arrival,16,0006,0
2020-03-24,arrival,16,0622,0
2020-03-24,arrival,16,2200,0
2020-03-24,arrival,28,0006,0
2020-03-24,arrival,28,0622,0
2020-03-24,arrival,28,2200,0
2020-03-24,arrival,34,0006,0
2020-03-24,arrival,34,0622,4
2020-03-24,arrival,34,2200,1
2020-03-24,arrival,all,total,35
2020-03-25,arrival,14,0006,0
2020-03-25,arrival,14,0622,37
2020-03-25,arrival,14,2200,0
2020-03-25,arrival,16,0006,0
2020-03-25,arrival,16,0622,0
2020-03-25,arrival,16,2200,0
2020-03-25,arrival,28,0006,0
2020-03-25,arrival,28,0622,0
2020-03-25,arrival,28,2200,0
2020-03-25,arrival,34,0006,0
2020-03-25,arrival,34,0622,2
2020-03-25,arrival,34,2200,1
2020-03-25,arrival,all,total,40
2020-03-26,arrival,14,0006,0
2020-03-26,arrival,14,0622,37
