time,direction,geo,value
2009-04-26,out_incl_losses,ch,128550534.769
2009-04-27,in,ch,200013993.055
2009-04-27,out,ch,153197868.707
2009-04-27,out_incl_losses,ch,166331957.77875
2009-04-28,in,ch,204293870.035
2009-04-28,out,ch,159998525.592
2009-04-28,out_incl_losses,ch,172630891.4335
2009-04-29,in,ch,206644597.192
2009-04-29,out,ch,160236050.211
2009-04-29,out_incl_losses,ch,173035860.7095
2009-04-30,in,ch,192552949.519
2009-04-30,out,ch,156266808.048
2009-04-30,out_incl_losses,ch,169719049.13525
2009-05-01,in,ch,160491096.11625
2009-05-01,out,ch,137880084.163
2009-05-01,out_incl_losses,ch,152357433.177
2009-05-02,in,ch,161707636.14125
2009-05-02,out,ch,127095528.429
2009-05-02,out_incl_losses,ch,138973517.09325
2009-05-03,in,ch,156978435.855
2009-05-03,out,ch,115828410.428
2009-05-03,out_incl_losses,ch,131161160.806
2009-05-04,in,ch,183326587.406
2009-05-04,out,ch,154169542.184
2009-05-04,out_incl_losses,ch,168020735.80775
2009-05-05,in,ch,182514138.572
2009-05-05,out,ch,157182285.595
2009-05-05,out_incl_losses,ch,170511568.45275
2009-05-06,in,ch,182821464.777
2009-05-06,out,ch,153718313.763
2009-05-06,out_incl_losses,ch,167102841.37175
2009-05-07,in,ch,188573485.601
2009-05-07,out,ch,150499857.963
2009-05-07,out_incl_losses,ch,162860530.22475
2009-05-08,in,ch,181107020.219
2009-05-08,out,ch,148412070.747
2009-05-08,out_incl_losses,ch,161843175.586
2009-05-09,in,ch,176896309.743
2009-05-09,out,ch,124851789.81
2009-05-09,out_incl_losses,ch,141737263.232
2009-05-10,in,ch,176650925.76625
2009-05-10,out,ch,111290618.093
2009-05-10,out_incl_losses,ch,131571629.10025
2009-05-11,in,ch,203167010.024
2009-05-11,out,ch,146641361.885
2009-05-11,out_incl_losses,ch,160940769.21975
2009-05-12,in,ch,212254887.145
2009-05-12,out,ch,150177969.716
2009-05-12,out_incl_losses,ch,165066691.6705
2009-05-13,in,ch,212436284.877
2009-05-13,out,ch,149647020.87
2009-05-13,out_incl_losses,ch,164762332.98275
2009-05-14,in,ch,215171782.901
2009-05-14,out,ch,150799520.541
2009-05-14,out_incl_losses,ch,167920840.965
2009-05-15,in,ch,218536190.776
2009-05-15,out,ch,150035687.304
2009-05-15,out_incl_losses,ch,166266555.52525
2009-05-16,in,ch,200742912.972
2009-05-16,out,ch,124507814.105
2009-05-16,out_incl_losses,ch,140302967.79375
2009-05-17,in,ch,192328301.463
2009-05-17,out,ch,112196787.343
2009-05-17,out_incl_losses,ch,131963553.39
2009-05-18,in,ch,214879927.87075
2009-05-18,out,ch,147658997.533
2009-05-18,out_incl_losses,ch,164921253.1135
2009-05-19,in,ch,216452511.767
2009-05-19,out,ch,148223917.376
2009-05-19,out_incl_losses,ch,164068591.85225
2009-05-20,in,ch,212833507.739
2009-05-20,out,ch,143396006.787
2009-05-20,out_incl_losses,ch,160422109.30625
2009-05-21,in,ch,206164196.517
2009-05-21,out,ch,114229396.608
2009-05-21,out_incl_losses,ch,134793240.553
2009-05-22,in,ch,212036151.365
2009-05-22,out,ch,129374574.767
2009-05-22,out_incl_losses,ch,150387190.45775
2009-05-23,in,ch,213238350.463
2009-05-23,out,ch,118312366.82
2009-05-23,out_incl_losses,ch,137955663.05775
2009-05-24,in,ch,210455183.604
2009-05-24,out,ch,110481153.768
2009-05-24,out_incl_losses,ch,132830438.33825
2009-05-25,in,ch,228277377.836
2009-05-25,out,ch,147609728.414
2009-05-25,out_incl_losses,ch,168216869.66425
2009-05-26,in,ch,230576787.95
2009-05-26,out,ch,152947966.762
2009-05-26,out_incl_losses,ch,175160942.517
2009-05-27,in,ch,233104486.397
